report_id,date_time,police_beat,street_name,street_type,injured,killed,hit_run_lvl,full_name
170508,2017-01-09 05:50:00,243,POMERADO,RD,1,0,nan,POMERADO RD
170286,2017-01-09 10:07:00,934,CARMEL MTN,RD,1,0,nan,CARMEL MTN RD
171776,2017-01-09 10:25:00,813,OHIO,ST,0,0,MISDEMEANOR,OHIO ST
170379,2017-01-09 10:30:00,311,MOBLEY,ST,0,0,MISDEMEANOR,MOBLEY ST
170272,2017-01-09 11:00:00,124,MIDWAY,ST,0,0,MISDEMEANOR,MIDWAY ST
170671,2017-01-09 11:40:00,527,PACIFIC,,0,0,MISDEMEANOR,PACIFIC 
170302,2017-01-09 11:46:00,723,PICADOR,BLVD,0,0,MISDEMEANOR,PICADOR BLVD
170292,2017-01-09 12:16:00,313,COMPLEX,DR,2,0,nan,COMPLEX DR
170326,2017-01-09 13:30:00,936,CARMEL VALLEY,RD,1,0,nan,CARMEL VALLEY RD
170680,2017-01-09 14:00:00,518,GRAPE,ST,0,0,MISDEMEANOR,GRAPE ST
170327,2017-01-09 14:33:00,437,BRIARWOOD,RD,2,0,nan,BRIARWOOD RD
170437,2017-01-09 16:15:00,813,MONROE,AVE,1,0,nan,MONROE AVE
170289,2017-01-09 16:23:00,527,PACIFIC,,1,0,nan,PACIFIC 
170733,2017-01-09 17:20:00,321,RANCHO MISSION,RD,2,0,nan,RANCHO MISSION RD
171175,2017-01-09 17:30:00,313,CLAIREMONT,,0,0,MISDEMEANOR,CLAIREMONT 
170287,2017-01-09 17:30:00,934,PACIFIC HIGHLANDS,PARKWAY,1,0,nan,PACIFIC HIGHLANDS PARKWAY
171174,2017-01-09 18:30:00,122,GARNET,AVE,0,0,MISDEMEANOR,GARNET AVE
170397,2017-01-09 22:00:00,613,WEST POINT LOMA,BLVD,0,0,MISDEMEANOR,WEST POINT LOMA BLVD
170322,2017-01-09 23:20:00,837,CACTUS RIDGE,ST,0,0,MISDEMEANOR,CACTUS RIDGE ST
170405,2017-01-10 00:01:00,512,COMMERCIAL,ST,0,0,MISDEMEANOR,COMMERCIAL ST
170309,2017-01-10 00:01:00,321,REFLECTION,DR,0,0,MISDEMEANOR,REFLECTION DR
170545,2017-01-10 01:16:00,839,36TH,ST,1,0,nan,36TH ST
170569,2017-01-10 04:49:00,521,IMPERIAL,AVE,1,0,nan,IMPERIAL AVE
170506,2017-01-10 05:14:00,613,WEST POINT LOMA,BLVD,1,0,nan,WEST POINT LOMA BLVD
170369,2017-01-10 07:43:00,813,REDWOOD,ST,1,0,nan,REDWOOD ST
170351,2017-01-10 11:47:00,234,BERNARDO CENTER,DR,0,0,MISDEMEANOR,BERNARDO CENTER DR
170325,2017-01-10 11:47:00,934,VILLAGE,WAY,1,0,nan,VILLAGE WAY
170613,2017-01-10 13:06:00,713,BRITANNIA,BLVD,1,0,nan,BRITANNIA BLVD
170493,2017-01-10 13:14:00,512,OCEAN VIEW,BLVD,2,0,nan,OCEAN VIEW BLVD
170328,2017-01-10 13:18:00,451,54TH,ST,1,0,nan,54TH ST
170344,2017-01-10 13:25:00,451,EUCLID,AVE,0,0,MISDEMEANOR,EUCLID AVE
170511,2017-01-10 16:00:00,451,COLLEGE GROVE,DR,1,0,nan,COLLEGE GROVE DR
170308,2017-01-10 16:10:00,621,GENESEE,AVE,0,0,MISDEMEANOR,GENESEE AVE
170385,2017-01-10 16:27:00,931,CARROLL CANYON,RD,1,0,nan,CARROLL CANYON RD
170384,2017-01-10 17:43:00,931,MIRAMAR,RD,2,0,MISDEMEANOR,MIRAMAR RD
170332,2017-01-10 18:04:00,627,10TH,AVE,0,0,nan,10TH AVE
170331,2017-01-10 18:11:00,241,MIRAMAR,WAY,1,0,nan,MIRAMAR WAY
170311,2017-01-10 18:51:00,126,SCIENCE CENTER,DR,1,0,MISDEMEANOR,SCIENCE CENTER DR
170330,2017-01-10 19:25:00,111,CLAIREMONT MESA,BLVD,1,0,nan,CLAIREMONT MESA BLVD
170459,2017-01-10 20:50:00,521,16TH,ST,0,0,MISDEMEANOR,16TH ST
170334,2017-01-10 20:56:00,611,MIDWAY,DR,1,0,nan,MIDWAY DR
170342,2017-01-10 22:00:00,122,BAYARD,ST,0,0,MISDEMEANOR,BAYARD ST
170329,2017-01-10 22:29:00,323,DEL CERRO,BLVD,0,0,nan,DEL CERRO BLVD
170409,2017-01-11 00:01:00,623,HOTEL,CIR,0,0,MISDEMEANOR,HOTEL CIR
172430,2017-01-11 02:15:00,523,05TH,AVE,0,0,MISDEMEANOR,05TH AVE
170362,2017-01-11 06:59:00,312,SANTO,RD,1,0,nan,SANTO RD
170358,2017-01-11 07:57:00,531,06TH,AVE,1,0,nan,06TH AVE
170436,2017-01-11 08:20:00,521,E,ST,1,0,nan,E ST
170764,2017-01-11 09:37:00,315,FRIARS,RD,1,0,nan,FRIARS RD
170387,2017-01-11 10:30:00,521,17TH,ST,0,0,nan,17TH ST
170492,2017-01-11 11:33:00,831,ORANGE,AVE,1,0,nan,ORANGE AVE
171562,2017-01-11 11:48:00,233,TWIN TRAILS,DR,3,0,nan,TWIN TRAILS DR
170527,2017-01-11 12:30:00,234,SAUCILLO,,1,0,MISDEMEANOR,SAUCILLO 
170457,2017-01-11 12:30:00,821,EL CAJON,BLVD,0,0,MISDEMEANOR,EL CAJON BLVD
170355,2017-01-11 12:34:00,122,INGRAHAM,ST,2,0,nan,INGRAHAM ST
170483,2017-01-11 12:45:00,451,EUCLID,AVE,0,0,nan,EUCLID AVE
171181,2017-01-11 13:46:00,324,LAKE MURRAY,BLVD,0,0,MISDEMEANOR,LAKE MURRAY BLVD
